feature,selected_count,selection_frequency,variance_dropped_count,variance_dropped_fraction,correlation_dropped_count,correlation_dropped_fraction,total_dropped_count,total_dropped_fraction,shap_class0_all_folds,shap_class0_selected_only,shap_class1_all_folds,shap_class1_selected_only,shap_balanced_all_folds,shap_balanced_selected_only,permutation_f1_all_folds,permutation_f1_selected_only,permutation_balanced_acc_all_folds,permutation_balanced_acc_selected_only,permutation_pr_auc_all_folds,permutation_pr_auc_selected_only
SA - LeftFrontalPole,13,0.52,0,0.0,0,0.0,0,0.0,7.337211330046413e-05,0.00014110021788550794,0.00010633816992466254,0.00020449648062435103,8.985514161256334e-05,0.0001727983492549295,-0.00047681377759663734,-0.0009169495723012256,-0.000456142510164447,-0.0008771971349316288,-0.001115884184789487,-0.0021459311245951673
CTS - LeftParsOpercularis,9,0.36,0,0.0,0,0.0,0,0.0,9.815670667121747e-05,0.0002726575185311596,7.467213692263979e-05,0.0002074226025628883,8.641442179692863e-05,0.00024004006054702395,0.00027623801399769156,0.0007673278166602544,0.00019019883501654211,0.0005283300972681726,9.73643116220062e-06,2.7045642117223945e-05
CV - RightLateralOccipital,4,0.16,0,0.0,0,0.0,0,0.0,5.3976109830634245e-05,0.00033735068644146404,0.0001158831941655368,0.000724269963534605,8.492965199808553e-05,0.0005308103249880346,-0.0005170783962276087,-0.0032317399764225543,-0.0005175407173686042,-0.003234629483553776,-0.0002879245323720122,-0.0017995283273250762
CTS - RightRostralMiddleFrontal,11,0.44,0,0.0,0,0.0,0,0.0,6.341367159987409e-05,0.00014412198090880477,9.154233905554042e-05,0.00020805077058077368,7.747800532770726e-05,0.00017608637574478923,-0.00027198792067182844,-0.0006181543651632464,-0.0002851440776733897,-0.0006480547219849766,0.00013043921346751928,0.0002964527578807256
SV - LeftPutamen,2,0.08,0,0.0,1,0.04,1,0.04,4.756793485542467e-05,0.0005945991856928084,8.904700878418025e-05,0.0011130876098022532,6.830747181980246e-05,0.0008538433977475308,0.00041145654633614867,0.005143206829201858,0.00038152637391827095,0.004769079673978387,1.3660317166868108e-05,0.00017075396458585135
CT - LeftSuperiorTemporal,20,0.8,0,0.0,0,0.0,0,0.0,5.7380833304316774e-05,7.172604163039597e-05,7.78312381794693e-05,9.728904772433663e-05,6.760603574189304e-05,8.45075446773663e-05,-0.0001622922665068098,-0.00020286533313351225,-9.622825073038968e-05,-0.00012028531341298711,-0.000240626583609406,-0.0003007832295117575
CT - RightParahippocampal,9,0.36,0,0.0,0,0.0,0,0.0,8.943979033144217e-05,0.00024844386203178384,4.021361128278561e-05,0.00011170447578551557,6.48267008071139e-05,0.00018007416890864972,-0.0005615459375533251,-0.0015598498265370143,-0.0005918762508834223,-0.0016441006968983952,-0.0002086796207033971,-0.0005796656130649919
CV - LeftSupramarginal,7,0.28,0,0.0,0,0.0,0,0.0,3.4448105835790963e-05,0.00012302894941353915,7.695065765823793e-05,0.00027482377735084975,5.569938174701445e-05,0.00019892636338219444,-0.00018079975805975,-0.0006457134216419643,-0.00019896374759656782,-0.0007105848128448851,-0.00020829747901518283,-0.0007439195679113672
CT - RightTemporalPole,5,0.2,0,0.0,0,0.0,0,0.0,3.1028935178881594e-05,0.00015514467589440798,7.769642235975518e-05,0.0003884821117987759,5.4362678769318386e-05,0.00027181339384659193,-0.00045139145554472254,-0.0022569572777236127,-0.00038687897327583146,-0.0019343948663791573,1.2088540804695566e-05,6.0442704023477836e-05
CV - LeftLateralOccipital,4,0.16,0,0.0,0,0.0,0,0.0,4.416509750709914e-05,0.0002760318594193696,5.987420646709135e-05,0.00037421379041932095,5.2019651987095244e-05,0.00032512282491934524,-0.00011421709787404415,-0.0007138568617127759,-0.00011740552538008677,-0.0007337845336255423,-0.00012858978290904738,-0.0008036861431815461
CV - LeftParsOpercularis,7,0.28,0,0.0,0,0.0,0,0.0,4.086677152486993e-05,0.00014595275544596403,6.252869659627454e-05,0.00022331677355812333,5.169773406057223e-05,0.00018463476450204368,-0.00014100335620309792,-0.000503583415011064,-0.00016048703396047095,-0.0005731679784302535,-0.00039022517525091655,-0.001393661340181845
